,h3_7,lat,lon,index_deprivation
44,874995b92ffffff,19.471024030892746,-99.053673135459,0.7924051317950919
45,874995b93ffffff,19.485055003308865,-99.0735518795361,0.3469885188751064
46,874995b9effffff,19.499085789757682,-99.09343687964187,0.013286058437673942
47,874995b98ffffff,19.51311638298642,-99.11332813393744,0.6100076705775406
48,874995b99ffffff,19.527146775738334,-99.1332256405768,0.560428250384086
49,874995b8affffff,19.517651864859275,-99.15621406225763,0.21598080736607572
50,874995b88ffffff,19.508153293042895,-99.17920161411028,0.6694058556830044
51,874995b8dffffff,19.498651064615665,-99.20218828878399,0.43327391915755364
52,874995a36ffffff,19.489145183910065,-99.22517407892971,0.39201070780660596
53,874995ba9ffffff,19.465618374873294,-99.2282453576656,0.867488800722368
54,874995badffffff,19.442092959532605,-99.23131555644791,0.685636326759667
55,874995b13ffffff,19.41856894589852,-99.23438467582852,0.7395260900553094
56,874995b10ffffff,19.395046341978528,-99.23745271635899,0.4570806131440175
57,874995b16ffffff,19.381036107543256,-99.21755438072826,0.17516695238450464
58,87499584bffffff,19.367025682142557,-99.19766226771509,0.30598070584419856
59,87499584affffff,19.353015073014536,-99.1777763791942,0.36128803386744635
60,87499585dffffff,19.339004287393312,-99.15789671703315,0.08518108828515447
61,87499585cffffff,19.32499333250899,-99.13802328309232,0.13339736647677192
62,87499585effffff,19.334490208411825,-99.11506997537211,0.9838749496550846
63,8749958edffffff,19.343983460550817,-99.09211581364958,0.27786302620801717
64,8749958e8ffffff,19.353473084606392,-99.06916080524589,0.35448638380189723
65,8749958eaffffff,19.36295907626495,-99.04620495748365,0.26184392427595393
66,8749958ccffffff,19.386465419738204,-99.04310551298762,0.1577885470541217
67,8749958c8ffffff,19.409973173475247,-99.04000498048532,0.7037315228061858
68,8749958cbffffff,19.433482329481162,-99.0369033594219,0.09255926161077077
69,874995165ffffff,19.456992879758047,-99.03380064924217,0.7230814411319437
70,874995161ffffff,19.480504816304965,-99.03069684939061,0.12516731596903985
71,87499516cffffff,19.494538400105696,-99.05057233700407,0.719106021928807
72,87499516dffffff,19.508571800384427,-99.07045408526912,0.28956332510987004
73,874995b9affffff,19.522605009888107,-99.09034209235409,0.5203748548842814
74,874995b9bffffff,19.536638021359646,-99.11023635642019,0.7037446443125136
75,874995aa6ffffff,19.550670827537974,-99.13013687562137,0.12052597090924255
76,874995aa4ffffff,19.54117696075267,-99.15312939770673,0.37338970728968335
77,874995b8bffffff,19.531679427455444,-99.1761210506492,0.8207604551378094
78,874995b89ffffff,19.522178231970827,-99.19911182709397,0.35087448974377544
79,874995a32ffffff,19.51267337862941,-99.222101719688,0.6508748902631122
80,874995a30ffffff,19.5031648717678,-99.24509072107982,0.15352010946995076
81,874995a34ffffff,19.479635655264612,-99.2481589772001,0.5068721620231483
82,874995b1affffff,19.45610782882831,-99.25122615414672,0.06846200001951674
83,874995b1effffff,19.432581400472127,-99.25429225247137,0.4973630675139098
84,874995b11ffffff,19.409056378206294,-99.25735727272539,0.9436634318700797
85,874995b15ffffff,19.385532770038004,-99.26042121545969,0.008359508436851626
86,874995b14ffffff,19.37152515577711,-99.24051967859047,0.2237902657056411
87,874995849ffffff,19.35751734812388,-99.22062435968068,0.22606243392152048
88,874995848ffffff,19.343509354316083,-99.2007352606122,0.3883068728142419
89,87499584effffff,19.329501181587485,-99.18085238325973,0.7431335479076642
90,874995843ffffff,19.315492837167852,-99.16097572949084,0.34101483379426367
